posicao;titulo;semanas;status;pico;arquivo;corte1;corte2;corte3
20;Architects - Blackhole;1;ESTRÉIA;20;videos\Architects - Blackhole.mp4;00:46;01:58;02:26
19;Sam Fender - People Watching;1;ESTRÉIA;19;videos\Sam Fender - People Watching.mp4;01:30;02:56;04:04
18;Linkin Park - Two Faced;5;-9;2;videos\Linkin Park - Two Faced.mp4;00:41;02:06;02:25
17;Lola Young - Messy;5;-5;8;videos\Lola Young - Messy.mp4;00:54;02:14;03:29
16;mehro - Lady Parts and Mannequins;2;-3;13;videos\mehro - Lady Parts and Mannequins.mp4;00:40;01:53;03:13
15;Inhaler - A Question Of You;1;ESTRÉIA;15;videos\Inhaler - A Question Of You.mp4;02:05;02:36;02:36
14;Damiano David - Born With A Broken Heart;1;ESTRÉIA;14;videos\Damiano David - Born With A Broken Heart.mp4;01:02;02:13;03:03
13;SANTI FRANCESI - Gatti;2;+1;13;videos\SANTI FRANCESI - Gatti.mp4;00:49;02:20;02:46
12;The Lumineers - Same Old Song;1;ESTRÉIA;12;videos\The Lumineers - Same Old Song.mp4;01:06;02:06;02:40
11;Linkin Park - Over Each Other;5;-5;2;videos\Linkin Park - Over Each Other.mp4;00:28;01:09;01:47
10;Alfa - il filo rosso;5;-6;1;videos\Alfa - il filo rosso.mp4;00:43;01:39;02:44
9;Pinguini Tattici Nucleari - Islanda;5;-1;8;videos\Pinguini Tattici Nucleari - Islanda.mp4;00:46;02:12;03:18
8;Linkin Park - The Emptiness Machine;5;-1;1;videos\Linkin Park - The Emptiness Machine.mp4;00:35;01:37;02:55
7;Bishop Briggs - My Serotonin;5;-6;1;videos\Bishop Briggs - My Serotonin.mp4;00:28;01:55;01:03
6;Rose - toxic till the end;5;-4;1;videos\Rose - toxic till the end.mp4;01:17;01:57;02:25
5;Silverstein - Don't Let Me Get Too Low;5;-2;3;videos\Silverstein - Don't Let Me Get Too Low.mp4;00:31;01:31;02:07
4;Brigitte Calls Me Baby - We Were Never Alive;4;+11;4;videos\Brigitte Calls Me Baby - We Were Never Alive.mp4;00:47;02:05;03:17
3;ONE OK ROCK - Dystopia;5;+8;3;videos\ONE OK ROCK - Dystopia.mp4;01:08;02:02;02:45
2;Balu Brigada - So Cold;5;+8;2;videos\Balu Brigada - So Cold.mp4;00:59;02:25;01:53
1;Breaking Benjamin - Awaken;4;+4;1;videos\Breaking Benjamin - Awaken.mp4;00:57;02:02;02:57
